book,url,bibtex
Guide to Discrete Mathematics Computer Science ,https://doi.org/10.1007/978-3-319-44561-8," @article{O_Regan_2016, title={Guide to Discrete Mathematics}, ISBN={9783319445618}, ISSN={1868-095X}, url={http://dx.doi.org/10.1007/978-3-319-44561-8}, DOI={10.1007/978-3-319-44561-8}, journal={Texts in Computer Science}, publisher={Springer International Publishing}, author={OâRegan, Gerard}, year={2016}}
"
Petroleum Geoscience Earth and Environmental Science ,https://doi.org/10.1007/978-3-642-34132-8," @article{2015, title={Petroleum Geoscience}, ISBN={9783642341328}, url={http://dx.doi.org/10.1007/978-3-642-34132-8}, DOI={10.1007/978-3-642-34132-8}, publisher={Springer Berlin Heidelberg}, year={2015}}
"
Structure Determination by X-ray Crystallography Chemistry and Materials Science ,https://doi.org/10.1007/978-1-4614-3954-7," @article{Ladd_2013, title={Structure Determination by X-ray Crystallography}, ISBN={9781461439547}, url={http://dx.doi.org/10.1007/978-1-4614-3954-7}, DOI={10.1007/978-1-4614-3954-7}, publisher={Springer US}, author={Ladd, Mark and Palmer, Rex}, year={2013}}
"
Introduction to Time Series and Forecasting Mathematics and Statistics ,https://doi.org/10.1007/978-3-319-29854-2," @article{Brockwell_2016, title={Introduction to Time Series and Forecasting}, ISBN={9783319298542}, ISSN={2197-4136}, url={http://dx.doi.org/10.1007/978-3-319-29854-2}, DOI={10.1007/978-3-319-29854-2}, journal={Springer Texts in Statistics}, publisher={Springer International Publishing}, author={Brockwell, Peter J. and Davis, Richard A.}, year={2016}}
"
Principles of Mobile Communication Engineering ,https://doi.org/10.1007/978-3-319-55615-4," @article{St_ber_2017, title={Principles of Mobile Communication}, ISBN={9783319556154}, url={http://dx.doi.org/10.1007/978-3-319-55615-4}, DOI={10.1007/978-3-319-55615-4}, publisher={Springer International Publishing}, author={StÃ¼ber, Gordon L.}, year={2017}}
"
Cardiovascular Biomechanics Medicine ,https://doi.org/10.1007/978-3-319-46407-7," @article{2017, title={Cardiovascular Biomechanics}, ISBN={9783319464077}, url={http://dx.doi.org/10.1007/978-3-319-46407-7}, DOI={10.1007/978-3-319-46407-7}, publisher={Springer International Publishing}, year={2017}}
"
Introduction to Smooth Manifolds Mathematics and Statistics ,https://doi.org/10.1007/978-1-4419-9982-5," @article{Lee_2012, title={Introduction to Smooth Manifolds}, ISBN={9781441999825}, ISSN={0072-5285}, url={http://dx.doi.org/10.1007/978-1-4419-9982-5}, DOI={10.1007/978-1-4419-9982-5}, journal={Graduate Texts in Mathematics}, publisher={Springer New York}, author={Lee, John M.}, year={2012}}
"
Taxation in European Union Law and Criminology ,https://doi.org/10.1007/978-3-319-53919-5," @article{Boria_2017, title={Taxation in European Union}, ISBN={9783319539195}, url={http://dx.doi.org/10.1007/978-3-319-53919-5}, DOI={10.1007/978-3-319-53919-5}, publisher={Springer International Publishing}, author={Boria, Pietro}, year={2017}}
"
Essentials of Cerebellum and Cerebellar Disorders Biomedical and Life Sciences ,https://doi.org/10.1007/978-3-319-24551-5," @article{2016, title={Essentials of Cerebellum and Cerebellar Disorders}, ISBN={9783319245515}, url={http://dx.doi.org/10.1007/978-3-319-24551-5}, DOI={10.1007/978-3-319-24551-5}, publisher={Springer International Publishing}, year={2016}}
"
Language Across the Curriculum & CLIL in English as an Additional Language (EAL) Contexts Education ,https://doi.org/10.1007/978-981-10-1802-2," @article{Lin_2016, title={Language Across the Curriculum & CLIL in English as an Additional Language (EAL) Contexts}, ISBN={9789811018022}, url={http://dx.doi.org/10.1007/978-981-10-1802-2}, DOI={10.1007/978-981-10-1802-2}, publisher={Springer Singapore}, author={Lin, Angel M.Y.}, year={2016}}
"
Multivariate Calculus and Geometry Mathematics and Statistics ,https://doi.org/10.1007/978-1-4471-6419-7," @article{Dineen_2014, title={Multivariate Calculus and Geometry}, ISBN={9781447164197}, ISSN={2197-4144}, url={http://dx.doi.org/10.1007/978-1-4471-6419-7}, DOI={10.1007/978-1-4471-6419-7}, journal={Springer Undergraduate Mathematics Series}, publisher={Springer London}, author={Dineen, SeÃ¡n}, year={2014}}
"
Statistics and Analysis of Scientific Data Physics and Astronomy ,https://doi.org/10.1007/978-1-4939-6572-4," @article{Bonamente_2017, title={Statistics and Analysis of Scientific Data}, ISBN={9781493965724}, ISSN={1868-4521}, url={http://dx.doi.org/10.1007/978-1-4939-6572-4}, DOI={10.1007/978-1-4939-6572-4}, journal={Graduate Texts in Physics}, publisher={Springer New York}, author={Bonamente, Massimiliano}, year={2017}}
"
Modelling Computing Systems Computer Science ,https://doi.org/10.1007/978-1-84800-322-4," @article{Moller_2013, title={Modelling Computing Systems}, ISBN={9781848003224}, ISSN={1863-7310}, url={http://dx.doi.org/10.1007/978-1-84800-322-4}, DOI={10.1007/978-1-84800-322-4}, journal={Undergraduate Topics in Computer Science}, publisher={Springer London}, author={Moller, Faron and Struth, Georg}, year={2013}}
"
Search Methodologies Business and Economics ,https://doi.org/10.1007/978-1-4614-6940-7," @article{2014, title={Search Methodologies}, ISBN={9781461469407}, url={http://dx.doi.org/10.1007/978-1-4614-6940-7}, DOI={10.1007/978-1-4614-6940-7}, publisher={Springer US}, year={2014}}
"
Representation Theory Mathematics and Statistics ,https://doi.org/10.1007/978-1-4612-0979-9," @article{Fulton_2004, title={Representation Theory}, ISBN={9781461209799}, ISSN={2197-5612}, url={http://dx.doi.org/10.1007/978-1-4612-0979-9}, DOI={10.1007/978-1-4612-0979-9}, journal={Graduate Texts in Mathematics}, publisher={Springer New York}, author={Fulton, William and Harris, Joe}, year={2004}}
"
Linear Algebra Done Right Mathematics and Statistics ,https://doi.org/10.1007/978-3-319-11080-6," @article{Axler_2014, title={Linear Algebra Done Right}, ISBN={9783319110806}, ISSN={2197-5604}, url={http://dx.doi.org/10.1007/978-3-319-11080-6}, DOI={10.1007/978-3-319-11080-6}, journal={Undergraduate Texts in Mathematics}, publisher={Springer International Publishing}, author={Axler, Sheldon}, year={2014}, month={Nov}}
"
Stellar Structure and Evolution Physics and Astronomy ,https://doi.org/10.1007/978-3-642-30304-3," @article{Kippenhahn_2012, title={Stellar Structure and Evolution}, ISBN={9783642303043}, ISSN={0941-7834}, url={http://dx.doi.org/10.1007/978-3-642-30304-3}, DOI={10.1007/978-3-642-30304-3}, journal={Astronomy and Astrophysics Library}, publisher={Springer Berlin Heidelberg}, author={Kippenhahn, Rudolf and Weigert, Alfred and Weiss, Achim}, year={2012}}
"
Evolutionary Thinking in Medicine Medicine ,https://doi.org/10.1007/978-3-319-29716-3," @article{2016, title={Evolutionary Thinking in Medicine}, ISBN={9783319297163}, url={http://dx.doi.org/10.1007/978-3-319-29716-3}, DOI={10.1007/978-3-319-29716-3}, publisher={Springer International Publishing}, year={2016}}
"
Understanding Cryptography Computer Science ,https://doi.org/10.1007/978-3-642-04101-3," @article{Paar_2010, title={Understanding Cryptography}, ISBN={9783642041013}, url={http://dx.doi.org/10.1007/978-3-642-04101-3}, DOI={10.1007/978-3-642-04101-3}, publisher={Springer Berlin Heidelberg}, author={Paar, Christof and Pelzl, Jan}, year={2010}}
"
Linear Algebra Mathematics and Statistics ,https://doi.org/10.1007/978-3-319-24346-7," @article{Liesen_2015, title={Linear Algebra}, ISBN={9783319243467}, ISSN={2197-4144}, url={http://dx.doi.org/10.1007/978-3-319-24346-7}, DOI={10.1007/978-3-319-24346-7}, journal={Springer Undergraduate Mathematics Series}, publisher={Springer International Publishing}, author={Liesen, JÃ¶rg and Mehrmann, Volker}, year={2015}}
"
Algebra Mathematics and Statistics ,https://doi.org/10.1007/978-1-4613-0041-0," @article{Lang_2002, title={Algebra}, ISBN={9781461300410}, ISSN={0072-5285}, url={http://dx.doi.org/10.1007/978-1-4613-0041-0}, DOI={10.1007/978-1-4613-0041-0}, journal={Graduate Texts in Mathematics}, publisher={Springer New York}, author={Lang, Serge}, year={2002}}
"
Understanding Analysis Mathematics and Statistics ,https://doi.org/10.1007/978-1-4939-2712-8," @article{Abbott_2015, title={Understanding Analysis}, ISBN={9781493927128}, ISSN={2197-5604}, url={http://dx.doi.org/10.1007/978-1-4939-2712-8}, DOI={10.1007/978-1-4939-2712-8}, journal={Undergraduate Texts in Mathematics}, publisher={Springer New York}, author={Abbott, Stephen}, year={2015}}
"
Plate Tectonics Earth and Environmental Science ,https://doi.org/10.1007/978-3-540-76504-2," @article{Frisch_2011, title={Plate Tectonics}, ISBN={9783540765042}, url={http://dx.doi.org/10.1007/978-3-540-76504-2}, DOI={10.1007/978-3-540-76504-2}, publisher={Springer Berlin Heidelberg}, author={Frisch, Wolfgang and Meschede, Martin and Blakey, Ronald C.}, year={2011}}
"
Linear Programming Business and Economics ,https://doi.org/10.1007/978-1-4614-7630-6," @article{Vanderbei_2014, title={Linear Programming}, ISBN={9781461476306}, ISSN={2214-7934}, url={http://dx.doi.org/10.1007/978-1-4614-7630-6}, DOI={10.1007/978-1-4614-7630-6}, journal={International Series in Operations Research & Management Science}, publisher={Springer US}, author={Vanderbei, Robert J.}, year={2014}}
"
The Nature of Scientific Knowledge Religion and Philosophy ,https://doi.org/10.1007/978-3-319-33405-9," @article{McCain_2016, title={The Nature of Scientific Knowledge}, ISBN={9783319334059}, url={http://dx.doi.org/10.1007/978-3-319-33405-9}, DOI={10.1007/978-3-319-33405-9}, publisher={Springer International Publishing}, author={McCain, Kevin}, year={2016}}
"
Leadership Today Business and Management ,https://doi.org/10.1007/978-3-319-31036-7," @article{2017, title={Leadership Today}, ISBN={9783319310367}, ISSN={2192-4341}, url={http://dx.doi.org/10.1007/978-3-319-31036-7}, DOI={10.1007/978-3-319-31036-7}, journal={Springer Texts in Business and Economics}, publisher={Springer International Publishing}, year={2017}}
"
Physics of Semiconductor Devices Engineering ,https://doi.org/10.1007/978-1-4939-1151-6," @article{Rudan_2015, title={Physics of Semiconductor Devices}, ISBN={9781493911516}, url={http://dx.doi.org/10.1007/978-1-4939-1151-6}, DOI={10.1007/978-1-4939-1151-6}, publisher={Springer New York}, author={Rudan, Massimo}, year={2015}}
"
Corporate Social Responsibility Business and Economics ,https://doi.org/10.1007/978-3-642-40975-2," @article{2013, title={Corporate Social Responsibility}, ISBN={9783642409752}, ISSN={2196-7083}, url={http://dx.doi.org/10.1007/978-3-642-40975-2}, DOI={10.1007/978-3-642-40975-2}, journal={CSR, Sustainability, Ethics & Governance}, publisher={Springer Berlin Heidelberg}, year={2013}}
"
Ordinary Differential Equations Mathematics and Statistics ,https://doi.org/10.1007/978-1-4614-3618-8," @article{Adkins_2012, title={Ordinary Differential Equations}, ISBN={9781461436188}, ISSN={2197-5604}, url={http://dx.doi.org/10.1007/978-1-4614-3618-8}, DOI={10.1007/978-1-4614-3618-8}, journal={Undergraduate Texts in Mathematics}, publisher={Springer New York}, author={Adkins, William A. and Davidson, Mark G.}, year={2012}}
"
Electronic Commerce Business and Economics ,https://doi.org/10.1007/978-3-319-10091-3," @article{Turban_2015, title={Electronic Commerce}, ISBN={9783319100913}, ISSN={2192-4341}, url={http://dx.doi.org/10.1007/978-3-319-10091-3}, DOI={10.1007/978-3-319-10091-3}, journal={Springer Texts in Business and Economics}, publisher={Springer International Publishing}, author={Turban, Efraim and King, David and Lee, Jae Kyu and Liang, Ting-Peng and Turban, Deborrah C.}, year={2015}}
"
Foundations of Analytical Chemistry Chemistry and Materials Science ,https://doi.org/10.1007/978-3-319-62872-1," @article{Valc_rcel_Cases_2018, title={Foundations of Analytical Chemistry}, ISBN={9783319628721}, url={http://dx.doi.org/10.1007/978-3-319-62872-1}, DOI={10.1007/978-3-319-62872-1}, publisher={Springer International Publishing}, author={ValcÃ¡rcel Cases, Miguel and LÃ³pez-Lorente, Ãngela I. and LÃ³pez-JimÃ©nez, Ma Ãngeles}, year={2018}}
"
Life Cycle Assessment Engineering ,https://doi.org/10.1007/978-3-319-56475-3," @article{2018, title={Life Cycle Assessment}, ISBN={9783319564753}, url={http://dx.doi.org/10.1007/978-3-319-56475-3}, DOI={10.1007/978-3-319-56475-3}, publisher={Springer International Publishing}, year={2018}}
"
A Clinical Guide to the Treatment of the Human Stress Response Behavioral Science ,https://doi.org/10.1007/978-1-4614-5538-7," @article{Everly__2013,_Lating_2013, title={A Clinical Guide to the Treatment of the Human Stress Response}, ISBN={9781461455387}, url={http://dx.doi.org/10.1007/978-1-4614-5538-7}, DOI={10.1007/978-1-4614-5538-7}, publisher={Springer New York}, author={Everly,, George S. and Lating, Jeffrey M.}, year={2013}}
"
Handbook of LGBT Elders Social Sciences ,https://doi.org/10.1007/978-3-319-03623-6," @article{2016, title={Handbook of LGBT Elders}, ISBN={9783319036236}, url={http://dx.doi.org/10.1007/978-3-319-03623-6}, DOI={10.1007/978-3-319-03623-6}, publisher={Springer International Publishing}, year={2016}}
"
"Handbook of Cardiac Anatomy, Physiology, and Devices Biomedical and Life Sciences ",https://doi.org/10.1007/978-3-319-19464-6," @article{2015, title={Handbook of Cardiac Anatomy, Physiology, and Devices}, ISBN={9783319194646}, url={http://dx.doi.org/10.1007/978-3-319-19464-6}, DOI={10.1007/978-3-319-19464-6}, publisher={Springer International Publishing}, year={2015}}
"
Quantum Mechanics Physics and Astronomy ,https://doi.org/10.1007/978-1-4612-1272-0," @article{Hecht_2000, title={Quantum Mechanics}, ISBN={9781461212720}, ISSN={0938-037X}, url={http://dx.doi.org/10.1007/978-1-4612-1272-0}, DOI={10.1007/978-1-4612-1272-0}, journal={Graduate Texts in Contemporary Physics}, publisher={Springer New York}, author={Hecht, K. T.}, year={2000}}
"
Understanding Statistics Using R Mathematics and Statistics ,https://doi.org/10.1007/978-1-4614-6227-9," @article{Schumacker_2013, title={Understanding Statistics Using R}, ISBN={9781461462279}, url={http://dx.doi.org/10.1007/978-1-4614-6227-9}, DOI={10.1007/978-1-4614-6227-9}, publisher={Springer New York}, author={Schumacker, Randall and Tomek, Sara}, year={2013}}
"
Mass Spectrometry Chemistry and Materials Science ,https://doi.org/10.1007/978-3-319-54398-7," @article{Gross_2017, title={Mass Spectrometry}, ISBN={9783319543987}, url={http://dx.doi.org/10.1007/978-3-319-54398-7}, DOI={10.1007/978-3-319-54398-7}, publisher={Springer International Publishing}, author={Gross, JÃ¼rgen H}, year={2017}}
"
Statistical Mechanics for Engineers Chemistry and Materials Science ,https://doi.org/10.1007/978-3-319-13809-1," @article{Kusaka_2015, title={Statistical Mechanics for Engineers}, ISBN={9783319150185}, url={http://dx.doi.org/10.1007/978-3-319-13809-1}, DOI={10.1007/978-3-319-13809-1}, publisher={Springer International Publishing}, author={Kusaka, Isamu}, year={2015}}
"
The Gastrointestinal System Biomedical and Life Sciences ,https://doi.org/10.1007/978-94-017-8771-0," @article{2014, title={The Gastrointestinal System}, ISBN={9789401787710}, url={http://dx.doi.org/10.1007/978-94-017-8771-0}, DOI={10.1007/978-94-017-8771-0}, publisher={Springer Netherlands}, year={2014}}
"
Magnetic Interactions in Molecules and Solids Chemistry and Materials Science ,https://doi.org/10.1007/978-3-319-22951-5," @article{de_Graaf_2016, title={Magnetic Interactions in Molecules and Solids}, ISBN={9783319229515}, ISSN={2214-4722}, url={http://dx.doi.org/10.1007/978-3-319-22951-5}, DOI={10.1007/978-3-319-22951-5}, journal={Theoretical Chemistry and Computational Modelling}, publisher={Springer International Publishing}, author={de Graaf, Coen and Broer, Ria}, year={2016}}
"
Electricity and Magnetism Physics and Astronomy ,https://doi.org/10.1007/978-4-431-54526-2," @article{Matsushita_2014, title={Electricity and Magnetism}, ISBN={9784431545262}, ISSN={2192-4805}, url={http://dx.doi.org/10.1007/978-4-431-54526-2}, DOI={10.1007/978-4-431-54526-2}, journal={Undergraduate Lecture Notes in Physics}, publisher={Springer Japan}, author={Matsushita, Teruo}, year={2014}}
"
Survival Analysis Mathematics and Statistics ,https://doi.org/10.1007/978-1-4419-6646-9," @article{Kleinbaum_2012, title={Survival Analysis}, ISBN={9781441966469}, ISSN={1431-8776}, url={http://dx.doi.org/10.1007/978-1-4419-6646-9}, DOI={10.1007/978-1-4419-6646-9}, journal={Statistics for Biology and Health}, publisher={Springer New York}, author={Kleinbaum, David G. and Klein, Mitchel}, year={2012}}
"
Foundations of Quantum Mechanics Physics and Astronomy ,https://doi.org/10.1007/978-3-319-65867-4," @article{Norsen_2017, title={Foundations of Quantum Mechanics}, ISBN={9783319658674}, ISSN={2192-4805}, url={http://dx.doi.org/10.1007/978-3-319-65867-4}, DOI={10.1007/978-3-319-65867-4}, journal={Undergraduate Lecture Notes in Physics}, publisher={Springer International Publishing}, author={Norsen, Travis}, year={2017}}
"
An Introduction to Statistical Learning Mathematics and Statistics ,https://doi.org/10.1007/978-1-4614-7138-7," @article{James_2013, title={An Introduction to Statistical Learning}, ISBN={9781461471387}, ISSN={2197-4136}, url={http://dx.doi.org/10.1007/978-1-4614-7138-7}, DOI={10.1007/978-1-4614-7138-7}, journal={Springer Texts in Statistics}, publisher={Springer New York}, author={James, Gareth and Witten, Daniela and Hastie, Trevor and Tibshirani, Robert}, year={2013}}
"
Introduction to Mathematica®️ for Physicists Physics and Astronomy ,https://doi.org/10.1007/978-3-319-00894-3," @article{Grozin_2014, title={Introduction to MathematicaÂ® for Physicists}, ISBN={9783319008943}, ISSN={1868-4521}, url={http://dx.doi.org/10.1007/978-3-319-00894-3}, DOI={10.1007/978-3-319-00894-3}, journal={Graduate Texts in Physics}, publisher={Springer International Publishing}, author={Grozin, Andrey}, year={2014}}
"
Statistical Learning from a Regression Perspective Mathematics and Statistics ,https://doi.org/10.1007/978-3-319-44048-4," @article{Berk_2016, title={Statistical Learning from a Regression Perspective}, ISBN={9783319440484}, ISSN={2197-4136}, url={http://dx.doi.org/10.1007/978-3-319-44048-4}, DOI={10.1007/978-3-319-44048-4}, journal={Springer Texts in Statistics}, publisher={Springer International Publishing}, author={Berk, Richard A.}, year={2016}}
"
Applied Partial Differential Equations Mathematics and Statistics ,https://doi.org/10.1007/978-3-319-12493-3," @article{Logan_2015, title={Applied Partial Differential Equations}, ISBN={9783319124933}, ISSN={2197-5604}, url={http://dx.doi.org/10.1007/978-3-319-12493-3}, DOI={10.1007/978-3-319-12493-3}, journal={Undergraduate Texts in Mathematics}, publisher={Springer International Publishing}, author={Logan, J. David}, year={2015}}
"
Principles of Astrophysics Physics and Astronomy ,https://doi.org/10.1007/978-1-4614-9236-8," @article{Keeton_2014, title={Principles of Astrophysics}, ISBN={9781461492368}, ISSN={2192-4805}, url={http://dx.doi.org/10.1007/978-1-4614-9236-8}, DOI={10.1007/978-1-4614-9236-8}, journal={Undergraduate Lecture Notes in Physics}, publisher={Springer New York}, author={Keeton, Charles}, year={2014}}
"
Air Pollution and Greenhouse Gases Energy ,https://doi.org/10.1007/978-981-287-212-8," @article{Tan_2014, title={Air Pollution and Greenhouse Gases}, ISBN={9789812872128}, ISSN={1865-3537}, url={http://dx.doi.org/10.1007/978-981-287-212-8}, DOI={10.1007/978-981-287-212-8}, journal={Green Energy and Technology}, publisher={Springer Singapore}, author={Tan, Zhongchao}, year={2014}}
"
Polymer Synthesis: Theory and Practice Chemistry and Materials Science ,https://doi.org/10.1007/978-3-642-28980-4," @article{Braun_2013, title={Polymer Synthesis: Theory and Practice}, ISBN={9783642289804}, url={http://dx.doi.org/10.1007/978-3-642-28980-4}, DOI={10.1007/978-3-642-28980-4}, publisher={Springer Berlin Heidelberg}, author={Braun, Dietrich and Cherdron, Harald and Rehahn, Matthias and Ritter, Helmut and Voit, Brigitte}, year={2013}}
"
Sustainable Supply Chains Business and Management ,https://doi.org/10.1007/978-3-319-29791-0," @article{2017, title={Sustainable Supply Chains}, ISBN={9783319297910}, ISSN={2365-6409}, url={http://dx.doi.org/10.1007/978-3-319-29791-0}, DOI={10.1007/978-3-319-29791-0}, journal={Springer Series in Supply Chain Management}, publisher={Springer International Publishing}, year={2017}}
"
Robotics Engineering ,https://doi.org/10.1007/978-1-84628-642-1," @article{Siciliano_2009, title={Robotics}, ISBN={9781846286421}, ISSN={1439-2232}, url={http://dx.doi.org/10.1007/978-1-84628-642-1}, DOI={10.1007/978-1-84628-642-1}, journal={Advanced Textbooks in Control and Signal Processing}, publisher={Springer London}, author={Siciliano, Bruno and Sciavicco, Lorenzo and Villani, Luigi and Oriolo, Giuseppe}, year={2009}}
"
Econometrics Business and Economics ,https://doi.org/10.1007/978-3-642-20059-5," @article{Baltagi_2011, title={Econometrics}, ISBN={9783642200595}, url={http://dx.doi.org/10.1007/978-3-642-20059-5}, DOI={10.1007/978-3-642-20059-5}, publisher={Springer Berlin Heidelberg}, author={Baltagi, Badi H.}, year={2011}}
"
The Sea Floor Earth and Environmental Science ,https://doi.org/10.1007/978-3-319-51412-3," @article{Seibold_2017, title={The Sea Floor}, ISBN={9783319514123}, ISSN={2510-1315}, url={http://dx.doi.org/10.1007/978-3-319-51412-3}, DOI={10.1007/978-3-319-51412-3}, journal={Springer Textbooks in Earth Sciences, Geography and Environment}, publisher={Springer International Publishing}, author={Seibold, Eugen and Berger, Wolfgang}, year={2017}}
"
SPSS for Starters and 2nd Levelers Biomedical and Life Sciences ,https://doi.org/10.1007/978-3-319-20600-4," @article{Cleophas_2016, title={SPSS for Starters and 2nd Levelers}, ISBN={9783319206004}, url={http://dx.doi.org/10.1007/978-3-319-20600-4}, DOI={10.1007/978-3-319-20600-4}, publisher={Springer International Publishing}, author={Cleophas, Ton J. and Zwinderman, Aeilko H.}, year={2016}}
"
Regression Modeling Strategies Mathematics and Statistics ,https://doi.org/10.1007/978-3-319-19425-7," @article{Harrell__2015,_2015, title={Regression Modeling Strategies}, ISBN={9783319194257}, ISSN={2197-568X}, url={http://dx.doi.org/10.1007/978-3-319-19425-7}, DOI={10.1007/978-3-319-19425-7}, journal={Springer Series in Statistics}, publisher={Springer International Publishing}, author={Harrell ,, Frank E.}, year={2015}}
"
Legal Dynamics of EU External Relations Law and Criminology ,https://doi.org/10.1007/978-3-662-54817-2," @article{de_Waele_2017, title={Legal Dynamics of EU External Relations}, ISBN={9783662548172}, url={http://dx.doi.org/10.1007/978-3-662-54817-2}, DOI={10.1007/978-3-662-54817-2}, publisher={Springer Berlin Heidelberg}, author={de Waele, Henri}, year={2017}}
"
Food Analysis Laboratory Manual Chemistry and Materials Science ,https://doi.org/10.1007/978-3-319-44127-6," @article{Nielsen_2017, title={Food Analysis Laboratory Manual}, ISBN={9783319441276}, ISSN={2214-7799}, url={http://dx.doi.org/10.1007/978-3-319-44127-6}, DOI={10.1007/978-3-319-44127-6}, journal={Food Science Text Series}, publisher={Springer International Publishing}, author={Nielsen, S. Suzanne}, year={2017}}
"
Principles of Musical Acoustics Physics and Astronomy ,https://doi.org/10.1007/978-1-4614-6786-1," @article{Hartmann_2013, title={Principles of Musical Acoustics}, ISBN={9781461467861}, ISSN={2192-4805}, url={http://dx.doi.org/10.1007/978-1-4614-6786-1}, DOI={10.1007/978-1-4614-6786-1}, journal={Undergraduate Lecture Notes in Physics}, publisher={Springer New York}, author={Hartmann, William M.}, year={2013}}
"
Fundamentals of Structural Engineering Engineering ,https://doi.org/10.1007/978-3-319-24331-3," @article{Connor_2016, title={Fundamentals of Structural Engineering}, ISBN={9783319243313}, url={http://dx.doi.org/10.1007/978-3-319-24331-3}, DOI={10.1007/978-3-319-24331-3}, publisher={Springer International Publishing}, author={Connor, Jerome J. and Faraji, Susan}, year={2016}}
"
Basics of Laser Physics Physics and Astronomy ,https://doi.org/10.1007/978-3-319-50651-7," @article{Renk_2017, title={Basics of Laser Physics}, ISBN={9783319506517}, ISSN={1868-4521}, url={http://dx.doi.org/10.1007/978-3-319-50651-7}, DOI={10.1007/978-3-319-50651-7}, journal={Graduate Texts in Physics}, publisher={Springer International Publishing}, author={Renk, Karl F.}, year={2017}}
"
Applied Quantitative Finance Mathematics and Statistics ,https://doi.org/10.1007/978-3-662-54486-0," @article{2017, title={Applied Quantitative Finance}, ISBN={9783662544860}, ISSN={2197-1706}, url={http://dx.doi.org/10.1007/978-3-662-54486-0}, DOI={10.1007/978-3-662-54486-0}, journal={Statistics and Computing}, publisher={Springer Berlin Heidelberg}, year={2017}}
"
"Handbook of Marriage and the Family Humanities, Social Sciences and Law ",https://doi.org/10.1007/978-1-4614-3987-5," @article{2013, title={Handbook of Marriage and the Family}, ISBN={9781461439875}, url={http://dx.doi.org/10.1007/978-1-4614-3987-5}, DOI={10.1007/978-1-4614-3987-5}, publisher={Springer US}, year={2013}}
"
Solid-State Physics Physics and Astronomy ,https://doi.org/10.1007/978-3-540-93804-0," @article{Ibach_2009, title={Solid-State Physics}, ISBN={9783540938040}, url={http://dx.doi.org/10.1007/978-3-540-93804-0}, DOI={10.1007/978-3-540-93804-0}, publisher={Springer Berlin Heidelberg}, author={Ibach, Harald and LÃ¼th, Hans}, year={2009}}
"
Electrochemical Impedance Spectroscopy and its Applications Chemistry and Materials Science ,https://doi.org/10.1007/978-1-4614-8933-7," @article{Lasia_2014, title={Electrochemical Impedance Spectroscopy and its Applications}, ISBN={9781461489337}, url={http://dx.doi.org/10.1007/978-1-4614-8933-7}, DOI={10.1007/978-1-4614-8933-7}, publisher={Springer New York}, author={Lasia, Andrzej}, year={2014}}
"
Economics as Applied Ethics Economics and Finance ,https://doi.org/10.1007/978-3-319-50319-6," @article{Beckerman_2017, title={Economics as Applied Ethics}, ISBN={9783319503196}, url={http://dx.doi.org/10.1007/978-3-319-50319-6}, DOI={10.1007/978-3-319-50319-6}, publisher={Springer International Publishing}, author={Beckerman, Wilfred}, year={2017}}
"
Electronics for Embedded Systems Engineering ,https://doi.org/10.1007/978-3-319-39439-8," @article{Bindal_2017, title={Electronics for Embedded Systems}, ISBN={9783319394398}, url={http://dx.doi.org/10.1007/978-3-319-39439-8}, DOI={10.1007/978-3-319-39439-8}, publisher={Springer International Publishing}, author={Bindal, Ahmet}, year={2017}}
"
Concise Guide to Software Engineering Computer Science ,https://doi.org/10.1007/978-3-319-57750-0," @article{O_Regan_2017, title={Concise Guide to Software Engineering}, ISBN={9783319577500}, ISSN={2197-1781}, url={http://dx.doi.org/10.1007/978-3-319-57750-0}, DOI={10.1007/978-3-319-57750-0}, journal={Undergraduate Topics in Computer Science}, publisher={Springer International Publishing}, author={OâRegan, Gerard}, year={2017}}
"
Fundamentals of Multimedia Computer Science ,https://doi.org/10.1007/978-3-319-05290-8," @article{Li_2014, title={Fundamentals of Multimedia}, ISBN={9783319052908}, ISSN={1868-095X}, url={http://dx.doi.org/10.1007/978-3-319-05290-8}, DOI={10.1007/978-3-319-05290-8}, journal={Texts in Computer Science}, publisher={Springer International Publishing}, author={Li, Ze-Nian and Drew, Mark S. and Liu, Jiangchuan}, year={2014}}
"
Logistics Business and Economics ,https://doi.org/10.1007/978-3-319-01769-3," @article{Gleissner_2013, title={Logistics}, ISBN={9783319017693}, ISSN={2192-4341}, url={http://dx.doi.org/10.1007/978-3-319-01769-3}, DOI={10.1007/978-3-319-01769-3}, journal={Springer Texts in Business and Economics}, publisher={Springer International Publishing}, author={Gleissner, Harald and Femerling, J. Christian}, year={2013}}
"
Group Theory Applied to Chemistry Chemistry and Materials Science ,https://doi.org/10.1007/978-94-007-6863-5," @article{Ceulemans_2013, title={Group Theory Applied to Chemistry}, ISBN={9789400768635}, ISSN={2214-4722}, url={http://dx.doi.org/10.1007/978-94-007-6863-5}, DOI={10.1007/978-94-007-6863-5}, journal={Theoretical Chemistry and Computational Modelling}, publisher={Springer Netherlands}, author={Ceulemans, Arnout Jozef}, year={2013}}
"
The Psychology of Social Status Behavioral Science ,https://doi.org/10.1007/978-1-4939-0867-7," @article{2014, title={The Psychology of Social Status}, ISBN={9781493908677}, url={http://dx.doi.org/10.1007/978-1-4939-0867-7}, DOI={10.1007/978-1-4939-0867-7}, publisher={Springer New York}, year={2014}}
"
